,r,b,tau
17499,7.614541783730731e-11,555.4772382636932,106.01255627717893
28356,7.647660498238513e-11,563.1272403727506,106.7330239960613
27040,7.784332305417844e-11,553.9804914063236,107.20632048828817
27463,7.386268919699607e-11,582.1610556740586,105.89777047746621
17232,7.790467616917133e-11,533.9624336546327,105.58659951612809
20746,7.358861636250616e-11,608.1250820995735,107.48178760077548
22087,7.372855629960419e-11,582.5419103739707,106.06295414420889
20257,6.984098777322293e-11,606.4987383212325,104.89701481695185
22087,7.372855629960419e-11,582.5419103739707,106.06295414420889
21701,7.550578500705542e-11,585.4738367059566,107.14577722709296
22995,7.393021528887654e-11,620.6634976278245,108.27922928092237
27315,7.411080107816786e-11,599.4011613798832,107.21097451679512
21729,7.285687320963042e-11,575.1724055442219,105.12501917764163
27733,7.641277218998982e-11,538.4749886036859,105.33389088298843
24248,7.29648922953124e-11,556.8331602173878,104.32073262720137
19026,7.286091409021814e-11,616.9104332715888,107.44824905634664
26283,7.498311050262268e-11,579.2134101219957,106.74165343714625
15643,7.037874028145245e-11,631.486215566292,106.4379057314885
20228,7.146690884730122e-11,624.0344489145983,106.98671393232887
15828,7.272943114663714e-11,607.3392281630609,106.75324306193565
23880,7.47158983379074e-11,554.1876918055704,104.91250123146163
23186,7.503351153994186e-11,566.9841307814959,105.92579017056059
28135,7.541402976377253e-11,614.6528257548449,109.08355512120022
26745,7.21911858200466e-11,602.4771315671953,106.15919919602624
19020,7.100868404399757e-11,657.9703525349502,108.31313956853376
19535,7.331084169172907e-11,598.960147970509,106.52818574100961
27308,7.613440593428869e-11,561.4307800723528,106.19280281951758
16091,7.081546923614181e-11,661.4410918061523,107.98445567134179
20489,7.370639022895985e-11,579.3429988631933,105.90562292348235
25789,7.544344521895652e-11,557.6000857394529,105.70712449177823
17878,7.123698173958154e-11,631.4196326879885,106.83945889920165
15665,7.583284034446151e-11,582.8204053003494,107.11339546339998
19474,7.448793593647494e-11,571.6221694259189,106.03092120287515
26130,7.335204975713658e-11,563.1260966514592,105.02666157536389
21258,7.018184213295319e-11,595.4640120846104,104.49212063555389
19225,7.585225906550072e-11,521.1460968314044,103.77125611369043
26416,7.374874071717932e-11,601.5743998033809,106.90339068761253
21748,7.348120932818482e-11,562.9467370112768,104.83945821823258
16320,7.313010926827467e-11,591.0292730637259,106.08543535802345
18644,7.137542259381034e-11,632.4861225407974,107.39479013882253
19576,7.580851963937458e-11,563.9015446553756,106.18392362122373
26451,7.501714924419875e-11,587.8095285944628,107.28942270697404
25851,7.229091589225453e-11,622.3611986210379,107.29892180309187
18207,7.646135663662273e-11,581.2380442688026,107.73785676442368
25980,7.433550067696181e-11,579.1690297810537,106.26714557851078
26753,7.277239373965371e-11,592.7303721247799,106.52971075998089
25380,6.964912626367703e-11,633.9081897278832,106.1115373868162
23407,7.261952663557348e-11,572.1880536240127,104.36111138747971
15628,7.313567701272132e-11,580.8503494551666,105.8770839486659
20613,7.618909056518157e-11,525.4455578901363,104.20775657262156
24637,7.592229050672362e-11,551.7975071187902,105.61563665331612
21802,7.264333943034083e-11,613.9606200650928,107.18032291476898
21535,7.391379530446293e-11,558.6584717026169,104.9936267917229
17495,7.787275544043311e-11,543.5777075798543,106.46583781565413
21021,7.782320672809241e-11,553.5778457344903,106.64832095385432
23242,7.061020597348115e-11,618.2444859637512,105.86929540763248
20684,7.436454986151402e-11,582.317060783708,106.03430242533877
24173,7.680283717192761e-11,560.2668377771249,106.75577137322661
18921,7.79737548017228e-11,558.9346778278054,107.64479412688678
17405,7.35913344083357e-11,548.6309091239087,104.05533885075675
28468,7.291526030895232e-11,617.4398677628353,107.38509994746242
27275,7.707178510039551e-11,597.1829915634762,108.70946317936985
25674,7.663051629222572e-11,569.7125298945303,106.78040888101248
26220,7.21600262756534e-11,615.7004146486128,106.61833434477519
16356,7.347325207180102e-11,627.9204794570428,107.92307329007893
22703,7.1294663765898e-11,586.5096144827386,104.86605639694818
28130,7.271141585668989e-11,653.9002310593194,109.03895354537329
28031,7.4644314657958e-11,603.4659618374477,108.18650699894671
15511,7.394447806559952e-11,572.552693876156,105.7231346967871
22860,7.387254736959259e-11,618.570114850691,108.0365820318972
26639,7.217841100507405e-11,625.0768730101865,107.35227582437476
24456,7.7468972094103e-11,538.6754398159334,105.80960124015141
16627,7.255760931653078e-11,597.4435403933011,106.01671062162343
23379,7.465742918017462e-11,621.7164363708589,108.58730057847094
26317,7.468993238906853e-11,577.5327978656733,106.61358786711406
26415,7.195450971951178e-11,598.7247488507456,105.66577629444862
23419,7.70762115141038e-11,521.0983499156049,104.4933188030407
25842,7.362549825098175e-11,589.5421818403082,106.23621430996911
22075,7.825883885004317e-11,577.6057272509935,108.77633762254436
15102,7.464567810154885e-11,590.4217273943171,107.022675070234
19521,7.118905919999085e-11,597.8698494550405,105.39306306408989
19859,7.414162353651753e-11,563.6382548231552,105.54491647860397
19235,7.579728084364801e-11,598.1903100156286,107.87057534136697
26844,7.47431198363811e-11,571.4719438385891,105.92634804131717
20779,7.293487803097552e-11,592.177287179863,106.17630265327294
15575,7.597327997837152e-11,593.2063593867282,108.01466644693257
23643,7.274538923439546e-11,587.2043538773063,105.7226966645691
21958,7.475581556071647e-11,539.146240876676,104.37512528201361
24374,7.389295725560369e-11,596.084785014119,107.00522458836187
20359,7.510185648366417e-11,578.2100936330651,106.77733372309629
17799,7.689262406414126e-11,544.5469787998231,105.84764332816155
27226,7.037395784195238e-11,627.3681518832232,106.17468990293838
20055,7.40625831471855e-11,615.6467064300259,107.97427977136334
15048,7.719867286748178e-11,602.110616701292,108.76451291808377
27500,7.35757688755415e-11,603.9264512651491,106.95047501780218
28077,7.388424373203992e-11,598.3309810753173,106.88721994924185
24940,7.314994490014108e-11,619.2568325058544,107.34449517409423
18644,7.137542259381034e-11,632.4861225407974,107.39479013882253
21296,7.330201071705196e-11,555.5019445858006,104.34390194328772
18061,7.183858545986453e-11,588.6404646242837,105.45094486763209
27202,7.61838895381924e-11,571.6691769953294,106.98788036053345
15441,7.601485316338904e-11,583.2356819092494,107.48807208566849
27473,7.273820506985352e-11,575.8674425891442,105.48646813113012
25587,7.377846099217092e-11,540.0506253297192,103.83471454214882
21192,7.216284793979258e-11,583.2949939758334,105.40462237412575
15850,7.384640891708831e-11,609.2679844276145,107.32452325446748
28156,7.152805615462076e-11,566.1883462633438,103.96854284658815
24566,7.212572801661891e-11,601.9308630658987,106.15005867197262
24439,7.187403610544242e-11,630.6965641345871,107.49815658933271
27492,7.16033972791873e-11,661.7313409975883,108.6568977495051
25485,7.322921190300923e-11,568.1066198561745,104.92243005577131
15619,7.614812208616522e-11,519.2706554124742,104.02246795565988
20576,7.422590175842143e-11,578.7192977007344,106.21699530187335
28215,7.007240281883795e-11,650.9032819979394,107.0526559124585
18618,7.291496151857418e-11,576.5903985788384,105.10517404126125
20535,7.171738166107778e-11,571.911521464748,103.97980464303441
16172,7.338730381932394e-11,619.8346828096334,107.7215390333566
15615,7.362466484163424e-11,620.3702802816908,107.90729607921477
17054,7.381468789589916e-11,595.4957546656103,106.31077696465805
23139,7.088505476308338e-11,620.3486649436016,106.29050281825029
19526,7.345429007040743e-11,568.1599739642841,105.11339963472057
15191,7.368164447988093e-11,617.9220345199029,107.77514295926723
26379,7.372881730405554e-11,558.7867532932751,104.63487527139853
26317,7.468993238906853e-11,577.5327978656733,106.61358786711406
17573,7.205695366278352e-11,637.5813668096569,107.53780749099968
17279,7.248118984466694e-11,627.7426821060876,107.59831164423508
17617,7.61753932342285e-11,525.3332069836262,104.18754638911676
20744,7.307800876372922e-11,624.8716379449804,107.87369221128536
18004,7.309992742966113e-11,582.1285902824311,105.6298674434471
16338,7.191400682729695e-11,612.7408859485688,106.49101356076838
19243,7.680063481924177e-11,518.1723879068542,104.45791152660723
24528,7.530378412745684e-11,550.5237540693479,105.53136730657397
23274,7.650004727444091e-11,550.3431518903195,106.04808914844153
27370,7.48370389254422e-11,554.178869760717,105.38565475574883
20261,7.548476673503946e-11,555.3214059405851,105.48580717225659
21652,7.272969686944729e-11,622.0935395141838,107.4368820856754
27843,7.347528650526307e-11,565.7697449676447,104.7584952262605
25930,7.608855143778451e-11,590.8040832201419,107.98299933139386
16232,7.104993124865885e-11,641.4195427516174,107.23379561143577
25285,7.189459433538576e-11,599.7446172333695,105.67829446276707
16386,7.107148882563614e-11,616.0928347929481,106.08254033842229
27794,7.466992677039025e-11,595.62075839596,106.93376123072149
26662,7.05328581690014e-11,638.7135559300079,106.94948945218988
16541,7.13649127294251e-11,605.9605551483437,106.0098602808498
18579,7.081265380510575e-11,644.0159342738294,107.34528274337323
23434,7.175748652967266e-11,609.9062747041118,106.23285585732312
27304,7.179621446032922e-11,630.6407899024802,107.25813133733789
18617,7.667873226638658e-11,548.2693582572647,105.82368212589537
23138,7.089692270841803e-11,622.329361921807,106.06544586079708
26457,7.501482979043595e-11,596.8370127724645,107.48452445712549
16556,7.225381111301697e-11,646.231839595313,108.28639017174768
26002,7.373664172370898e-11,591.3477886266332,106.46716686240305
23419,7.70762115141038e-11,521.0983499156049,104.4933188030407
16789,7.055540850744525e-11,612.4094855242774,106.03863156849874
22721,7.494604722208949e-11,590.5759194059699,106.96344618727315
25107,7.573231843716551e-11,600.3260772926501,108.37973307407113
20406,7.317300084557011e-11,606.6938044702663,106.86727465285678
19857,7.232524804490021e-11,640.2285102527902,107.84215010998973
19963,7.76887871958093e-11,534.7385087686201,105.92033422366165
17556,7.503665251105163e-11,568.9716752745286,106.06885103478247
17359,7.567425111674103e-11,523.1285676944458,104.05492743492356
26474,7.530226463065013e-11,525.6014681022714,103.72922668380549
17237,7.144878858013795e-11,576.355202644266,104.29690500682916
24209,7.481086399224084e-11,582.3779967597286,106.67276525451382
23407,7.261952663557348e-11,572.1880536240127,104.36111138747971
24353,7.411852889913747e-11,638.5286618851501,109.11394396482804
27249,7.365754231354091e-11,582.7131549950258,106.09477564826132
19285,7.794310922835583e-11,515.9050393117268,105.06030597116643
20172,7.8488292295605e-11,522.4799718417012,105.37993954716256
23209,7.449007539444447e-11,595.4187696365673,107.20376325061983
25713,7.227696796742882e-11,629.0294374569737,107.44770677636023
16281,7.183548328669782e-11,595.7864947248547,105.75327680098458
26701,7.550755901293674e-11,566.884355215451,106.21097271317801
19307,7.446336335314548e-11,596.4170500828692,107.17592286388779
22577,7.604221725595518e-11,575.5654405503259,106.89510845815447
16344,7.329154736889877e-11,544.4917818368269,103.7847188839651
21384,7.046232318334745e-11,587.0650194728097,103.90502933607044
25518,7.353308429751087e-11,606.5127921491843,107.10813872926344
25107,7.573231843716551e-11,600.3260772926501,108.37973307407113
18599,7.480953263339233e-11,607.3772384747713,108.05696938198315
21304,7.349160282707765e-11,572.2851544889178,105.6364148902879
27160,7.499798201038385e-11,583.0653852190981,106.773807115358
22463,7.61589598605702e-11,560.1708687988317,106.42340197553334
27998,7.621466338565012e-11,597.9963238794558,108.22356224149262
20726,7.005256913984464e-11,627.1289656915285,106.05441160318
15303,7.458188205257248e-11,603.7272626922181,107.40744429530649
24130,7.76543340090592e-11,556.5112902142455,107.22997796861605
23955,7.144994389443829e-11,625.0357305308092,106.77097849257753
18163,7.190144365799102e-11,633.5251899993515,107.5303093266009
22362,7.410970896897117e-11,555.6361757143969,104.6751978799003
22117,7.520253499259929e-11,621.1624289495401,108.47988229809778
22513,7.48588992659589e-11,556.0299185112083,105.2350994442309
18451,7.70721748909592e-11,534.4209803221014,105.7688214063231
27210,7.216716832882125e-11,601.9046193587354,106.34099004807099
25979,7.503064891880469e-11,579.1766273452479,106.83343019443312
25568,7.346333021058347e-11,605.9900100732226,106.81319995574952
21376,7.388262798204897e-11,564.2913301569351,105.26242433207591
20061,7.457068790355929e-11,568.1472472106939,105.67393606412745
26550,7.305593314423383e-11,601.6183908670472,106.80759406484083
19746,7.13441681198628e-11,625.4074879190847,107.11726615275767
